situated,positioned,positioned,correct
urgently,desperately,desperately,correct
costly,expensive,expensive,correct
prominent,conspicuous,mysterious,wrong
furnish,supply,advise,wrong
arranged,planned,planned,correct
zenith,pinnacle,pinnacle,correct
marketed,sold,diluted,wrong
unlikely,improbable,different,wrong
sustained,prolonged,prolonged,correct
concocted,devised,devised,correct
showed,demonstrated,repeated,wrong
constantly,continually,instantly,wrong
recognized,acknowledged,acknowledged,correct
generally,broadly,broadly,correct
discrepancies,differences,differences,correct
colloquial,conversational,conversational,correct
unmatched,unequaled,unrecognized,wrong
enormously,tremendously,tremendously,correct
haphazardly,randomly,densely,wrong
