situated,positioned,positioned,correct
urgently,desperately,desperately,correct
costly,expensive,expensive,correct
prominent,conspicuous,conspicuous,correct
furnish,supply,supply,correct
arranged,planned,planned,correct
zenith,pinnacle,pinnacle,correct
marketed,sold,sold,correct
unlikely,improbable,improbable,correct
sustained,prolonged,prolonged,correct
concocted,devised,devised,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
recognized,acknowledged,acknowledged,correct
generally,broadly,broadly,correct
discrepancies,differences,differences,correct
colloquial,conversational,conversational,correct
unmatched,unequaled,unequaled,correct
enormously,tremendously,tremendously,correct
haphazardly,randomly,randomly,correct
